pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Alipurduars,28,GEN,Uttar Pradesh,2014,Shyam Bali,M,Independent,IND,6523,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Abdul Mannan,M,Independent,IND,6535,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Kamlendra,M,Akhil Bharatiya Jan Sangh,ABJS,7403,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Dharam Raj Patel,M,Apna Dal,AD,16252,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Mitra Sen Yadav,M,Independent,IND,79343,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Hira Lal Yadav,M,Samajwadi Party,SP,85213,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Nirmal Khatri,M,Indian National Congress,INC,106237,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Siya Ram Nishad,M,Bahujan Samaj Party,BSP,135629,1228752
Alipurduars,28,GEN,Uttar Pradesh,2014,Vinay Katiyar,M,Bharatiya Janata Party,BJP,193191,1228752
Alipurduars,29,SC,Uttar Pradesh,2014,Shiv Kumar,M,Independent,IND,335,1089797
