Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
4800,P C Chacko,CHALAKUDY,INC,0,Post Graduate,"Rs 2,80,00,209","Rs 20,63,744"
4801,P C Mohanan Master,KANNUR,BJP,2,12th Pass,"Rs 1,28,59,808","Rs 7,39,740"
4802,P C Venugopal,ALAPPUZHA,IND,0,Post Graduate,"Rs 3,09,510","Rs 1,58,235"
4803,P K Raman,KASARAGOD,IND,2,10th Pass,"Rs 6,16,200",Rs 0
4804,P K Sreemathi,KANNUR,CPI(M),8,Others,"Rs 1,69,39,970",Rs 0
4805,P Karunakaran,KASARAGOD,CPI(M),6,Post Graduate,"Rs 59,00,345",Rs 0
4806,P L Punia,BARABANKI,INC,0,Doctorate,"Rs 2,00,81,069",Rs 0
4807,P Muniraju,BANGALORE RURAL,BJP,0,12th Pass,"Rs 50,58,54,419","Rs 7,62,01,010"
4808,P P Aboobacker,KANNUR,CPI(ML) Red star,0,10th Pass,"Rs 13,75,736",Rs 0
4809,P P Choudhary,PALI,BJP,0,Graduate Professional,"Rs 35,35,03,467","Rs 78,92,216"
4810,P P Mohanan,KANNUR,IND,0,12th Pass,"Rs 1,39,53,502",Rs 0
4811,P Pushpa Raj,CHITTOOR,Jai Samaikyandhra Party,0,Graduate Professional,"Rs 8,41,732",Rs 0
4812,P R Rasmilnath,WAYANAD,BJP,0,Graduate,"Rs 14,45,000","Rs 1,00,000"
4813,P V N Reddy,NANDYAL,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,"Rs 1,82,000",Rs 0
4814,P V Natesan,ALAPPUZHA,BSP,0,Graduate,"Rs 32,19,698",Rs 0
4815,P Y Hemanth Kumar,DHARWAD,AAP,0,12th Pass,"Rs 6,26,88,810",Rs 0
4816,P. Ahila,CHENNAI CENTRAL,IND,0,10th Pass,"Rs 40,000",Rs 0
4817,P. Anil Chowdary,ANANTAPUR,INC,0,Graduate,"Rs 1,02,40,000","Rs 13,95,000"
4818,P. Asaithambi,TIRUCHIRAPPALLI,CPI(ML)L,0,Graduate,"Rs 1,000",Rs 0
4819,P. Asaravel,PONDICHERRY,IND,0,Literate,"Rs 4,12,500",Rs 0
4820,P. Bakkiaraj,PONDICHERRY,IND,1,8th Pass,"Rs 1,49,100",Rs 0
4821,P. Balram,MAHABUBABAD,INC,1,Post Graduate,"Rs 73,71,44,941","Rs 84,72,086"
4822,P. Manimaran,CHENNAI CENTRAL,IND,0,5th Pass,"Rs 61,000",Rs 0
4823,P.abdul Hameed Master,VADAKARA,SDPI,1,Graduate,"Rs 49,88,654",Rs 0
4824,P.balasubramaniyan,TIRUPPUR,IND,0,Not Given,"Rs 3,32,000",Rs 0
4825,P.c Kuril,BARABANKI,Indian National League,0,12th Pass,"Rs 3,05,09,500","Rs 36,000"
4826,P.c. Gaddigoudar,BAGALKOT,BJP,0,Graduate Professional,"Rs 3,63,62,500","Rs 95,89,199"
4827,P.c. Mohan,BANGALORE CENTRAL,BJP,2,12th Pass,"Rs 47,57,96,999","Rs 26,11,11,285"
4828,P.c. Sorkar Junior,BARASAT,BJP,1,Doctorate,"Rs 5,44,16,813","Rs 15,36,534"
4829,P.c.jolly,IDUKKI,IND,0,12th Pass,"Rs 1,69,91,308","Rs 55,00,000"
4830,P.chandrabose,MADURAI,IND,2,Literate,"Rs 9,05,000","Rs 2,84,000"
4831,P.d. Chandrabhanu,ERNAKULAM,Socialist Republican Party,0,10th Pass,"Rs 83,06,000","Rs 8,84,000"
4832,P.gopalakrishnan,MADURAI,IND,0,Graduate,"Rs 7,28,03,120","Rs 74,06,426"
4833,P.jeyakumar,MADURAI,IND,0,Graduate Professional,"Rs 10,03,650","Rs 2,60,000"
4834,P.k.biju,ALATHUR,CPI(M),0,Post Graduate,"Rs 32,31,047","Rs 3,41,749"
4835,P.kumar S/o Palanivel,TIRUCHIRAPPALLI,AIADMK,0,Graduate Professional,"Rs 1,85,22,597","Rs 19,17,891"
4836,P.kumarankutty,VADAKARA,IND,0,Graduate Professional,"Rs 4,43,47,759",Rs 0
4837,P.loganathan,ARANI,IND,0,8th Pass,"Rs 12,13,000",Rs 0
4838,P.m. Velayudhan,KOLLAM,BJP,0,10th Pass,"Rs 59,27,000","Rs 7,50,000"
4839,P.muthaiyan,VILUPPURAM,IND,0,Illiterate,"Rs 1,42,500",Rs 0
4840,P.narayansamy,KALLAKURICHI,IND,1,10th Pass,"Rs 17,14,800","Rs 2,25,000"
4841,P.ramasubramanian,MADURAI,IND,0,10th Pass,"Rs 37,42,169","Rs 30,12,000"
4842,P.selvaboobathi,TIRUPPUR,IND,0,5th Pass,"Rs 1,55,639",Rs 0
4843,P.v.midhun Reddy,RAJAMPET,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,"Rs 22,59,84,036","Rs 81,83,862"
4844,P.v.radhakrishnan,VIRUDHUNAGAR,IND,0,Graduate,"Rs 55,96,881","Rs 1,45,000"
4845,Paban Mazumder,HOOGHLY,SUCI(C),0,Graduate,Rs 779,Rs 0
4846,Paban Singh Ghatowar,DIBRUGARH,INC,0,Graduate,"Rs 4,92,29,437","Rs 25,47,986"
4847,Pabitra Ranjan Dasmunshi (satya),RAIGANJ,AITC,0,Graduate,"Rs 1,15,57,345","Rs 37,68,411"
4848,"Pachamuthu, N.",PERAMBALUR,IND,0,Not Given,"Rs 20,25,000",Rs 0
4849,Padam Chand,EAST DELHI,IND,0,10th Pass,"Rs 26,70,000",Rs 0
4850,Padam Chandra Gupta,LUCKNOW,IND,0,Graduate Professional,"Rs 43,42,000",Rs 0
4851,Padam Singh,SONIPAT,INLD,0,Graduate Professional,"Rs 3,00,51,128","Rs 4,66,311"
4852,Padam Singh,SONIPAT,IND,0,12th Pass,"Rs 1,16,72,304",Rs 0
4853,Padhiyar Laljibhai Karabhai,JAMNAGAR,IND,0,Literate,"Rs 1,00,51,180",Rs 0
4854,Padhiyar Vikramsinh Chhaganbhai,ANAND,Rashtriya Samaj Paksha,0,Graduate,"Rs 29,06,733",Rs 0
4855,Padiga Yarraiah,MAHABUBABAD,IND,0,5th Pass,"Rs 4,80,000",Rs 0
4856,Padmaja Kandukuri,NEW DELHI,IND,0,Not Given,"Rs 23,67,592","Rs 1,80,000"
4857,Padmakar Kondiba Ovhal,LATUR,IND,0,Literate,Rs 500,Rs 0
4858,Padmamma M V,MYSORE,AAP,0,Graduate,"Rs 1,16,27,675","Rs 4,78,620"
4859,Padmanabhan .c.k.,KOZHIKODE,BJP,0,10th Pass,"Rs 93,06,000","Rs 4,00,000"
4860,Padmanabhan S.,KANNIYAKUMARI,IND,0,Post Graduate,"Rs 45,75,197",Rs 0
4861,Padmarajan.k.dr,DHARMAPURI,IND,0,Post Graduate,"Rs 15,15,900","Rs 48,000"
4862,Padmsinh Vijaysinh Mundhe,OSMANABAD,IND,0,12th Pass,"Rs 10,80,000","Rs 1,88,000"
4863,Paduri Srinivas Reddy,MALKAJGIRI,Telangana Loksatta Party,0,Post Graduate,"Rs 5,60,66,969","Rs 85,000"
4864,Pagi Ganpatbhai Mavjibhai,GANDHINAGAR,IND,0,12th Pass,"Rs 1,33,796",Rs 0
4865,Paglanand,BADAUN,Mahan Dal,0,10th Pass,"Rs 17,95,492",Rs 0
4866,Paidi Raja Rao,SRIKAKULAM,Jai Samaikyandhra Party,0,Graduate,"Rs 1,40,90,000","Rs 14,55,000"
4867,Pakaudi Lal Kol,ROBERTSGANJ,SP,0,Literate,"Rs 1,72,78,483",Rs 0
4868,Pal Jitendra Kumar Nanaku,MUMBAI SOUTH CENTRAL,IND,0,12th Pass,"Rs 11,08,000",Rs 0
4869,Pala Ram,GANGANAGAR,CPI(M),0,Literate,"Rs 7,50,500",Rs 0
4870,Palani Ali Ishak,JAMNAGAR,IND,0,5th Pass,"Rs 26,000",Rs 0
4871,Palani S,SIVAGANGA,IND,0,10th Pass,"Rs 2,36,000",Rs 0
4872,"Palani, A. Thiru",SRIPERUMBUDUR,IND,1,10th Pass,"Rs 1,53,10,000",Rs 0
4873,Palaniappan Josiyar C.m,ERODE,CPI(ML) Red Star,0,Illiterate,"Rs 20,000",Rs 0
4874,Palanichamy,VIRUDHUNAGAR,IND,0,Post Graduate,Nil,Rs 0
4875,Palanisamy. G,NAGAPATTINAM,CPI,0,5th Pass,"Rs 30,22,631",Rs 0
4876,Palanisamy. N,POLLACHI,IND,0,8th Pass,"Rs 76,58,116","Rs 52,00,000"
4877,Palanisamy. V,POLLACHI,IND,0,Literate,"Rs 14,86,600","Rs 3,25,000"
4878,Palanivel.p,TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 2,49,53,196","Rs 1,64,07,645"
4879,Pale Ram Kashyap,KARNAL,Rashtriya Janshakti Party(Eklavya),0,10th Pass,"Rs 7,31,148",Rs 0
4880,Palla Venkata Naidu,RAJAHMUNDRY,IND,0,12th Pass,"Rs 2,37,877","Rs 80,000"
4881,Pallickal Surendran,MAVELIKKARA,IND,0,10th Pass,"Rs 4,10,278",Rs 0
4882,Palpandi .c,RAMANATHAPURAM,IND,1,Graduate,"Rs 1,20,000",Rs 0
4883,"Palpandi, S.",VIRUDHUNAGAR,IND,0,Doctorate,Nil,Rs 0
4884,Paluskar Krishnarao Tatoba,GANGANAGAR,Prabuddha Republican Party,0,Post Graduate,"Rs 34,61,100","Rs 15,00,000"
4885,Pamanand Tolani,INDORE,IND,0,10th Pass,"Rs 23,71,000","Rs 3,75,000"
4886,Pammi Venkareddy,ONGOLE,Pyramid Party of India,0,12th Pass,"Rs 7,71,307",Rs 0
4887,Panabaka Lakshmi,BAPATLA,INC,0,Post Graduate,"Rs 6,57,82,130","Rs 16,82,000"
4888,Panasai Arangan.n,THANJAVUR,IND,0,10th Pass,"Rs 30,000",Rs 0
4889,Pancham Lal,PATALIPUTRA,IND,0,Graduate,"Rs 2,99,91,521",Rs 0
4890,Panchu.udayakumar,ARAKKONAM,IND,0,Post Graduate,"Rs 7,10,000","Rs 1,50,000"
4891,Pandav Bhailalbhai Kalubhai,KHEDA,BSP,0,10th Pass,"Rs 80,000",Rs 0
4892,Pandhare Vijay Baliram,NASHIK,AAP,0,Graduate Professional,"Rs 1,66,20,000",Rs 0
4893,Pandi.n,DINDIGUL,CPI(M),1,12th Pass,"Rs 29,20,205","Rs 6,04,640"
4894,Pandiarajan,VIRUDHUNAGAR,IND,0,8th Pass,"Rs 19,58,200","Rs 12,00,000"
4895,Panditi Subbaiah,NELLORE,IND,0,10th Pass,"Rs 1,35,000",Rs 0
4896,Pandiyan .r,MAYILADUTHURAI,IND,0,10th Pass,"Rs 7,69,965",Rs 0
4897,Pandula Ravindra Babu,AMALAPURAM,TDP,0,Graduate Professional,"Rs 2,71,31,000","Rs 30,00,000"
4898,Pandurang Jethya Pardhi,PALGHAR,AAP,0,10th Pass,"Rs 13,37,700","Rs 2,60,000"
4899,Pandurang Ramchandra Shinde,SATARA,IND,2,Post Graduate,"Rs 5,24,08,590","Rs 17,00,753"
4900,Pandurang Tukaram Chougale,KOLHAPUR,IND,0,8th Pass,"Rs 25,22,000",Rs 0
4901,Pandya Chiragbhai Hariombhai,JAMNAGAR,IND,0,10th Pass,"Rs 33,16,540","Rs 9,00,000"
4902,Panjab Singh Katwal,FIROZPUR,IND,0,12th Pass,"Rs 1,72,82,000","Rs 18,00,000"
4903,Pankaj,MAHARAJGANJ,BJP,0,12th Pass,"Rs 19,18,19,151","Rs 21,51,048"
4904,Pankaj Agarwal,MUZAFFARNAGAR,INC,0,Graduate,"Rs 24,22,60,053","Rs 2,71,48,000"
4905,Pankaj Kishor Mandal,ARARIA,IND,2,10th Pass,"Rs 2,02,412","Rs 50,000"
4906,Pankaj Kumar Sharma,FATEHPUR SIKRI,Rashtriya Samanta Dal,0,Post Graduate,"Rs 1,43,08,000","Rs 10,000"
4907,Pankaj Kumar Singh,PURNIA,CPI(ML)L,3,8th Pass,"Rs 29,61,753",Rs 0
4908,Pankaj Kumar Srivastava,MUZAFFARPUR,Jai Prakash Janata Dal,0,12th Pass,"Rs 65,000",Rs 0
4909,Pankaj Paswan,BEGUSARAI,IND,0,Post Graduate,"Rs 1,02,895",Rs 0
4910,Pankaj Prafulkumar Bhansali,NAGPUR,IND,0,12th Pass,"Rs 2,06,84,589",Rs 0
4911,Pankaj Sewakram Masurkar,RAMTEK,Hindustan Janta Party,0,10th Pass,"Rs 30,000",Rs 0
4912,Pankaj Singh Patel,SIDHI,AAP,0,Post Graduate,"Rs 1,44,766",Rs 0
4913,Pankajkumar Parbhubhai Patel,VALSAD,Aadivasi Sena Party,1,Graduate Professional,"Rs 37,18,604",Rs 0
4914,Pankajkumar Sharma,CHANDRAPUR,AITC,0,Graduate,"Rs 97,57,822","Rs 4,50,000"
4915,Panmani Besra,BANKURA,Jharkhand Disom Party,0,10th Pass,"Rs 29,900",Rs 0
4916,Panneerselvam N,SALEM,IND,1,8th Pass,"Rs 11,35,000","Rs 4,25,000"
4917,Panneerselvam.c,THOOTHUKKUDI,IND,0,Graduate Professional,"Rs 1,46,579",Rs 0
4918,Panneerselvam.s,NAMAKKAL,IND,0,12th Pass,"Rs 20,86,049",Rs 0
4919,Pannerselvam.v,SALEM,AIADMK,0,Graduate Professional,"Rs 3,22,68,097","Rs 2,53,282"
4920,Pappu,GHAZIPUR,Eklavya Samaj Party,0,12th Pass,"Rs 41,000",Rs 0
4921,Pappu Yadav,BANDA,JD(U),0,12th Pass,"Rs 13,22,000",Rs 0
4922,Parameshwar Ramagalla,WARANGAL,BJP,5,Graduate Professional,"Rs 92,80,000","Rs 3,08,203"
4923,Parameswar Kand,KALAHANDI,Samata Kranti Dal,1,12th Pass,"Rs 22,70,000","Rs 1,00,000"
4924,Paramjeet Kaur W/o Gurpreet Singh,FARIDKOT,IND,0,Literate,"Rs 2,30,466","Rs 1,00,000"
4925,Paramjeet Singh Desal,FIROZPUR,IND,0,8th Pass,"Rs 9,50,000",Rs 0
4926,Paramjit Kaur Gulshan,FARIDKOT,SAD,0,Post Graduate,"Rs 3,76,37,845","Rs 48,76,412"
4927,Paramjit Kaur W/o Amrik Singh,FARIDKOT,Bahujan Mukti Party,0,10th Pass,"Rs 60,000",Rs 0
4928,Paramjit Kumar,JALANDHAR,Bahujan Mukti Party,0,12th Pass,"Rs 5,66,932",Rs 0
4929,Paramjit Singh,FATEHGARH SAHIB,IND,0,10th Pass,"Rs 5,32,000",Rs 0
4930,Paramjit Singh,KARNAL,AAP,0,Graduate,"Rs 28,63,613","Rs 13,82,819"
4931,Parappa Shankareppa Antakkanavar,BELGAUM,IND,1,Graduate Professional,"Rs 1,27,51,189","Rs 10,53,795"
4932,Paras Dada Saklecha,MANDSOUR,AAP,2,Post Graduate,"Rs 46,57,101","Rs 1,36,232"
4933,Parasa Srinivasa Rao,MACHILIPATNAM,IND,1,10th Pass,"Rs 3,68,316","Rs 1,40,000"
4934,Parashuram Rathod,BAGALKOT,IND,0,12th Pass,"Rs 7,76,342","Rs 84,800"
4935,Parasnath Pandey,PURVI CHAMPARAN,Janvadi Party(Socialist),0,Graduate,"Rs 1,37,50,000","Rs 5,00,000"
4936,Parasnath Yadav,JAUNPUR,SP,0,12th Pass,"Rs 1,75,76,964",Rs 0
4937,Parasuram S,DAVANAGERE,CPI(ML)L,0,Literate,"Rs 2,71,500","Rs 1,25,000"
4938,Parasuraman.k,THANJAVUR,AIADMK,0,12th Pass,"Rs 14,60,49,347","Rs 2,79,54,352"
4939,Parbhubhai Nagarbhai Vasava,BARDOLI,BJP,1,Others,"Rs 1,59,09,957","Rs 13,53,400"
4940,Pardaeshi Lal Uikey,CHHINDWARA,GGP,0,12th Pass,"Rs 8,64,500",Rs 0
4941,Pardeep Singh Tanwar,BHIWANI MAHENDRAGARH,IND,0,Graduate,"Rs 1,77,20,045","Rs 2,25,000"
4942,Pardeep Singh Walia,AMRITSAR,BSP,0,Others,"Rs 4,95,65,228","Rs 4,50,000"
4943,Pardip,KAIRANA,Bahujan Mukti Party,0,12th Pass,"Rs 8,71,000",Rs 0
4944,Paresh Baishya,MANGALDOI,AIUDF,2,Graduate,"Rs 4,59,875",Rs 0
4945,Paresh Chandra Ghosh,BARASAT,SUCI(C),0,Post Graduate,"Rs 7,32,200","Rs 10,00,000"
4946,Paresh Dahyalal Rawal,AHMEDABAD EAST,BJP,0,12th Pass,"Rs 79,52,11,576","Rs 8,14,72,461"
4947,Paresh Halder,RANAGHAT,SUCI(C),0,10th Pass,"Rs 4,53,654",Rs 0
4948,Paresh Marandi,BANKURA,JMM,1,8th Pass,"Rs 10,00,500",Rs 0
4949,Pargunan A.,KANCHEEPURAM,IND,0,10th Pass,Nil,Rs 0
4950,Parikh Viral Hasmukhbhai,KHEDA,IND,9,12th Pass,"Rs 33,86,800","Rs 5,00,000"
4951,"Parivendar Pachamuthu, T.r.",PERAMBALUR,BJP,1,Post Graduate,"Rs 77,69,48,435","Rs 3,08,85,280"
4952,Parmanand,ALLAHABAD,IND,0,5th Pass,"Rs 86,000",Rs 0
4953,Parmanand God,SIWAN,Swatantra Samaj Party,0,12th Pass,"Rs 3,15,000",Rs 0
4954,Parmar Amarsinh Dahyabhai,ANAND,IND,0,8th Pass,"Rs 27,000",Rs 0
4955,Parmar Bhaichandbhai Somabhai,PATAN,Republican Party of India Ektavadi,0,5th Pass,"Rs 2,73,000",Rs 0
4956,Parmar Harjivanbhai Kalabhai,AHMEDABAD WEST,IND,0,10th Pass,"Rs 1,90,000",Rs 0
4957,Parmar Hitendrasinh Mohansinh,ANAND,Bharatiya National Janta Dal,0,8th Pass,"Rs 10,95,800",Rs 0
4958,Parmar Maganbhai Amarabhai,PATAN,BSP,0,10th Pass,"Rs 9,40,000",Rs 0
4959,Parmar Minaxiben Vijaybhai,SURENDRANAGAR,BSP,0,5th Pass,"Rs 2,38,278",Rs 0
4960,Parmar Prabhubhai Gokalbhai,SURENDRANAGAR,IND,1,Graduate Professional,"Rs 44,64,629",Rs 0
4961,Parmar Ramsinh Prabhatsinh,PANCHMAHAL,INC,0,10th Pass,"Rs 4,38,16,858","Rs 5,47,000"
4962,Parmar Ravjibhai Shibhaibhai,ANAND,AAP,0,Post Graduate,"Rs 1,13,14,555","Rs 2,94,189"
4963,Parmar Vasharambhai Bavalbhai,SURENDRANAGAR,IND,0,Literate,"Rs 2,16,851",Rs 0
4964,Parmatama Singh,SARAN,AAP,0,10th Pass,"Rs 1,44,62,242","Rs 10,41,900"
4965,Parmendra Kumar Yadav,NAWADA,Bharatiya Ekta Dal,0,12th Pass,"Rs 10,30,800",Rs 0
4966,Parmeshwar Hiraman Gawai,BULDHANA,Ambedkarist Republican Party,0,12th Pass,"Rs 88,10,000","Rs 60,000"
4967,Parmeshwar Jha,SUPAUL,AAP,0,Graduate,"Rs 1,15,16,000",Rs 0
4968,Parmeshwar Manjhi,SIWAN,Bahujan Mukti Party,0,Graduate,"Rs 7,13,458","Rs 60,000"
4969,Parmeshwar Ram,VAISHALI,Bahujan Mukti Party,1,Graduate Professional,"Rs 1,77,27,192","Rs 5,00,000"
4970,Parmeshwar Singh,SHAHDOL,CPI,0,5th Pass,"Rs 5,15,000","Rs 2,00,000"
4971,Parnav Prakash,NALANDA,AAP,0,Graduate Professional,"Rs 5,84,83,543","Rs 1,60,00,000"
4972,Parshuram Paswan,DHANBAD,IND,0,Graduate Professional,"Rs 77,400",Rs 0
4973,Parsottam,MATHURA,Rashtriya mahan Gantantra Party,0,12th Pass,"Rs 7,81,935",Rs 0
4974,Parsuram Majhi,NABARANGPUR,BJP,0,Graduate,"Rs 82,74,821","Rs 61,600"
4975,Partap Singh Bajwa,GURDASPUR,INC,0,Graduate,"Rs 24,70,69,039",Rs 0
4976,Partha Karmakar,TRIPURA WEST,CPI(ML)L,0,Graduate,"Rs 55,40,194",Rs 0
4977,"Parthipan, R.",THENI,AIADMK,0,Graduate,"Rs 2,20,47,681","Rs 8,69,650"
4978,"Parvathi, S",CHIDAMBARAM,IND,0,Not Given,"Rs 2,10,000",Rs 0
4979,Parvaz Ashfaque Siddiqui,PHULPUR,Qaumi Ekta Dal,0,Not Given,"Rs 2,51,000",Rs 0
4980,Parveen Amanullah,PATNA SAHIB,AAP,0,Graduate,"Rs 3,42,92,500",Rs 0
4981,Parveen Kaur,SANGRUR,IND,0,8th Pass,"Rs 12,70,000",Rs 0
4982,Parveen Kumar,PATIALA,IND,0,12th Pass,"Rs 52,500",Rs 0
4983,Parvesh Bhateja,PATIALA,IND,0,8th Pass,"Rs 4,53,030","Rs 1,90,632"
4984,Parvesh Kumari,KANGRA,SP,0,5th Pass,"Rs 78,00,000",Rs 0
4985,Parvesh Sahib Singh,WEST DELHI,BJP,1,Post Graduate,"Rs 10,72,35,461","Rs 2,66,50,000"
4986,Parvez Aqil,BIJNOR,All India Minorities Front,0,Graduate,"Rs 1,04,992",Rs 0
4987,Parwez Ahmad,PATNA SAHIB,Loktantrik Janata Party (Secular),0,Graduate,"Rs 88,692",Rs 0
4988,Pasarul Alam,RAIGANJ,AAP,0,Post Graduate,"Rs 1,04,95,835","Rs 16,36,925"
4989,Pashupati Nath Gupta,MAHARAJGANJ,AAP,1,10th Pass,"Rs 47,95,252","Rs 3,00,000"
4990,Pashupati Nath Singh,DHANBAD,BJP,1,Graduate,"Rs 2,42,48,150",Rs 0
4991,Pastor A.james,TIRUPPUR,IND,0,10th Pass,"Rs 31,000",Rs 0
4992,Patel Bhogilal Haribhai,SABARKANTHA,Bharatiya National Janta Dal,0,8th Pass,"Rs 38,72,000","Rs 26,60,000"
4993,Patel Bhupendrakumar Dhirubhai,NAVSARI,JD(U),0,10th Pass,"Rs 30,15,000",Rs 0
4994,Patel Dilipbhai Manibhai,ANAND,BJP,4,10th Pass,"Rs 7,59,98,610","Rs 76,32,620"
4995,Patel Dilipbhai Manilal,ANAND,IND,0,Post Graduate,"Rs 3,90,000",Rs 0
4996,Patel Dilipbhai Somabhai,MAHESANA,Hindustan Janta Party,0,8th Pass,"Rs 43,21,000",Rs 0
4997,Patel Govindbhai Ranchhodbhai,VALSAD,AAP,1,Post Graduate,"Rs 5,33,572","Rs 3,00,000"
4998,Patel Hemantbhai Keshavbhai,DADRA AND NAGAR HAVELI,BSP,0,12th Pass,"Rs 1,45,206",Rs 0
4999,Patel Hidayat Ulla Barkat Ulla,AKOLA,INC,1,12th Pass,"Rs 1,24,76,287","Rs 2,02,500"
5000,Patel Himmatsingh Prahladsingh,AHMEDABAD EAST,INC,1,8th Pass,"Rs 3,84,89,984","Rs 17,08,500"
5001,Patel Ishavarbhai Sakaraji,SABARKANTHA,IND,0,12th Pass,"Rs 7,93,300",Rs 0
5002,Patel Jayeshbhai Arvindbhai,ANAND,IND,0,Graduate,"Rs 1,60,30,246","Rs 22,000"
5003,Patel Jayshreeben Kanubhai,MAHESANA,BJP,0,10th Pass,"Rs 1,32,78,493","Rs 18,14,057"
5004,Patel Jivabhai Ambalal,MAHESANA,INC,0,10th Pass,"Rs 22,94,80,000","Rs 2,68,29,000"
5005,Patel Joitabhai Kasanabhai,BANASKANTHA,INC,0,8th Pass,"Rs 2,39,87,116","Rs 3,56,250"
5006,Patel Ketanbhai Dahayabhai,DAMAN AND DIU,INC,1,Others,"Rs 13,18,33,259","Rs 1,04,42,779"
5007,Patel Kiritbhai Ishvarbhai,GANDHINAGAR,INC,1,Graduate,"Rs 3,56,74,384","Rs 31,30,000"
5008,Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,"Rs 14,49,31,238","Rs 12,34,039"
5009,Patel Mehool Kumar Thakorbhai,NAVSARI,AAP,0,Graduate,"Rs 1,91,78,744","Rs 20,77,958"
5010,Patel Mohanbhai Budhabhai,SURAT,AAP,0,12th Pass,"Rs 80,32,681",Rs 0
5011,Patel Naineshkumar Umedbhai,ANAND,IND,1,12th Pass,"Rs 53,46,000",Rs 0
5012,Patel Pankajbhai Ravjibhai,PANCHMAHAL,IND,0,Graduate,"Rs 6,86,286",Rs 0
5013,Patel Piyushkumar Dashrathlal,GANDHINAGAR,National Youth Party,0,12th Pass,"Rs 2,06,000",Rs 0
5014,Patel Praful Manoharbhai,BHANDARA GONDIYA,NCP,0,Graduate,"Rs 1,95,96,85,779","Rs 4,00,00,000"
5015,Patel Purushottambhai Ambalal,SABARKANTHA,IND,0,10th Pass,"Rs 39,90,000","Rs 1,25,000"
5016,Patel Shaileshbhai Gandabhai,VALSAD,JD(U),0,8th Pass,"Rs 18,75,886",Rs 0
5017,Patel Shri Dhar Chandrakar,MAHASAMUND,Apna Dal,1,Post Graduate,"Rs 2,49,03,805","Rs 13,78,101"
5018,Patel Vandanaben Dineshbhai,MAHESANA,AAP,0,12th Pass,"Rs 1,18,46,813","Rs 2,00,000"
5019,Pathan Abdulrazak Badshahkhan,KHEDA,Apna Desh Party,0,5th Pass,"Rs 40,000",Rs 0
5020,Pathan Amanullakha Sitabkha,KHEDA,IND,0,10th Pass,"Rs 97,000",Rs 0
5021,Pathan Ayub Maddekhan,NASHIK,IUML,0,Graduate Professional,"Rs 28,42,358","Rs 84,885"
5022,Pathan Jafar Ali Kha Md. Ali Kha,NANDED,IND,0,12th Pass,"Rs 36,42,000",Rs 0
5023,Pathan Mahemudkhan Razakkhan,VADODARA,Apna Desh Party,0,5th Pass,"Rs 30,000",Rs 0
5024,Pathan Sahebkhan Asifkhan,VADODARA,SP,0,12th Pass,"Rs 28,60,000",Rs 0
5025,Pathan Sakhawatkha Yasinkha,NASHIK,Bahujan Mukti Party,0,Graduate,"Rs 36,10,000","Rs 3,25,000"
5026,Pathmanaban.k,TIRUNELVELI,IND,0,Graduate,"Rs 44,381",Rs 0
5027,Patil Ashok Tapiram,JALGAON,BJP,0,Graduate,"Rs 22,61,80,395",Rs 0
5028,Patil Bajrang Krishna,KOLHAPUR,IND,0,10th Pass,"Rs 3,52,142",Rs 0
5029,Patil Chandrakant Raghunath,NAVSARI,BJP,7,10th Pass,"Rs 74,47,61,133","Rs 40,58,88,122"
5030,Patil Dinkar Dharma,NASHIK,BSP,8,8th Pass,"Rs 6,51,66,950","Rs 2,88,076"
5031,Patil Madhukar Vitthal,BHIWANDI,CPI,0,5th Pass,"Rs 38,97,131","Rs 70,000"
5032,Patil Manohar Anandrao,OSMANABAD,IND,0,12th Pass,"Rs 2,15,000",Rs 0
5033,Patil Nitin Suresh,AURANGABAD,INC,7,Graduate,"Rs 15,06,99,930","Rs 1,31,63,583"
5034,Patil Padmasinha Bajirao,OSMANABAD,NCP,6,Graduate Professional,"Rs 13,19,18,437","Rs 1,01,74,735"
5035,Patil Pramod Ratan,KALYAN,MNS,0,10th Pass,"Rs 8,55,92,187","Rs 2,76,64,328"
5036,Patil Pratik Prakashbapu,SANGLI,INC,0,10th Pass,"Rs 5,25,43,606","Rs 88,91,772"
5037,Patil S R Tatya,HATKANANGLE,IND,0,Graduate Professional,"Rs 35,00,000","Rs 2,00,000"
5038,Patil Sandeep Yuvraj,JALGAON,IND,0,12th Pass,Nil,Rs 0
5039,Patil Sangram Gokulsingh,JALGAON,AAP,0,Post Graduate,"Rs 1,70,98,312","Rs 38,18,000"
5040,Patil Suresh Padurang,JALGAON,Hindustan Janta Party,0,10th Pass,"Rs 50,000",Rs 0
5041,Patil Upendra Babarao,YAVATMAL WASHIM,IND,0,Graduate Professional,"Rs 36,75,000","Rs 3,15,000"
5042,Patil Vishwanath Ramchandra,BHIWANDI,INC,2,10th Pass,"Rs 2,55,93,787","Rs 13,11,000"
5043,Patle Anjali Agastikumar,BHANDARA GONDIYA,Bharipa Bahujan Mahasangha,0,Post Graduate,"Rs 16,79,100","Rs 24,25,000"
5044,Patolla Kartik Reddy,CHEVELLA,INC,0,Graduate Professional,"Rs 3,71,37,244",Rs 0
