Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2307,Gopinathan.n,MALAPPURAM,IND,0,Post Graduate,"Rs 24,86,000","Rs 2,01,347"
2308,"Gopu, C.",VELLORE,IND,0,12th Pass,"Rs 25,00,000","Rs 1,50,000"
2309,Gora Shoeb Mohmadhanif,PANCHMAHAL,IND,0,5th Pass,"Rs 50,000",Rs 0
2310,Gorakh Prasad,BANSGAON,SP,1,Graduate Professional,"Rs 98,44,522","Rs 4,85,000"
2311,Gordhan Sarswat,CHURU,AITC,0,Literate,"Rs 5,00,000",Rs 0
2312,Gorre Ramesh,PEDDAPALLE,IND,0,Post Graduate,"Rs 6,21,500","Rs 2,00,000"
2313,Gotam Lal Meena,UDAIPUR,CPI(ML)L,1,5th Pass,"Rs 1,41,876",Rs 0
2314,Gothra Moopan Nellikadan Kannan,KASARAGOD,IND,0,Not Given,"Rs 2,40,000",Rs 0
2315,Gour Chandra Hembram,BANKURA,IND,0,Post Graduate,"Rs 11,00,000","Rs 1,00,000"
2316,Gourav Gogoi,KALIABOR,INC,0,Post Graduate,"Rs 54,73,199","Rs 10,42,133"
2317,Goutam Bhattacharya,DARJEELING,SUCI(C),0,10th Pass,"Rs 12,01,800",Rs 0
2318,Goutam Malakar,KARIMGANJ,IND,0,8th Pass,"Rs 2,42,000",Rs 0
